KeyPressed ,H,1501426956756Key Released , H,1501426957491
KeyPressed ,E,1501426957522Key Released , E,1501426957537
KeyPressed ,L,1501426957569Key Released , L,1501426957585
KeyPressed ,L,1501426957663Key Released , L,1501426957717
KeyPressed ,O,1501426959148Key Released , O,1501426959211
KeyPressed ,G,1501427122818Key Released , G,1501427122896
KeyPressed ,O,1501427123225Key Released , O,1501427123304
KeyPressed ,O,1501427123367Key Released , O,1501427123445
KeyPressed ,D,1501427123876Key Released , D,1501427123939
KeyPressed ,G,1501427187071Key Released , G,1501427187149
KeyPressed ,R,1501427187321Key Released , R,1501427187415
KeyPressed ,E,1501427187509Key Released , E,1501427187618
KeyPressed ,Y,1501427187780Key Released , Y,1501427187842
KeyPressed ,G,1501427337903Key Released , G,1501427337981
KeyPressed ,R,1501427338154Key Released , R,1501427338232
KeyPressed ,T,1501427338372Key Released , T,1501427338466
KeyPressed ,D,1501427375199KeyPressed ,F,1501427375355Key Released , F,1501427375511
Key Released , D,1501427375660
KeyPressed ,G,1501427430961KeyPressed ,F,1501427430976Key Released , F,1501427431101
KeyPressed ,H,1501427431148Key Released , G,1501427431164
KeyPressed ,G,1501427431211Key Released , H,1501427431228
KeyPressed ,F,1501427431259KeyPressed ,H,1501427431448Key Released , F,1501427431463
Key Released , H,1501427431479
Key Released , G,1501427431510
KeyPressed ,F,1501427502750KeyPressed ,D,1501427502781KeyPressed ,G,1501427502890Key Released , F,1501427502906
Key Released , G,1501427503547
KeyPressed ,F,1501427503641Key Released , D,1501427503656
KeyPressed ,G,1501427503724Key Released , F,1501427503740
Key Released , G,1501427503833
KeyPressed ,G,1501427702410Key Released , G,1501427702520
KeyPressed ,I,1501427702962Key Released , I,1501427702978
KeyPressed ,T,1501427703415Key Released , T,1501427703525
KeyPressed ,Space,1501427763386Key Released , Space,1501427763402
KeyPressed ,Caps Lock,1501427763863Key Released , Caps Lock,1501427763988
KeyPressed ,A,1501427764144Key Released , A,1501427764253
KeyPressed ,S,1501427764347Key Released , S,1501427764441
KeyPressed ,Space,1501427764790Key Released , Space,1501427764899
KeyPressed ,F,1501427767075Key Released , F,1501427767184
KeyPressed ,I,1501427767293Key Released , I,1501427767356
KeyPressed ,L,1501427767528Key Released , L,1501427767621
KeyPressed ,E,1501427767722Key Released , E,1501427767769
KeyPressed ,I,1501427769705Key Released , I,1501427769760
KeyPressed ,D,1501427770026Key Released , D,1501427770135
KeyPressed ,Left Control,1501427770890KeyPressed ,S,1501427771031Key Released , S,1501427771781
Key Released , Left Control,1501427772641
KeyPressed ,G,1501427784421Key Released , G,1501427784534
KeyPressed ,I,1501427785058Key Released , I,1501427785074
KeyPressed ,T,1501427785605Key Released , T,1501427785690
KeyPressed ,G,1501427898361Key Released , G,1501427898455
KeyPressed ,T,1501427899848Key Released , T,1501427899863
KeyPressed ,R,1501428277089Key Released , R,1501428277167
KeyPressed ,E,1501428277589Key Released , E,1501428277589
KeyPressed ,T,1501428278549Key Released , T,1501428278612
KeyPressed ,Escape,1501428285827KeyPressed ,D,1501428459650Key Released , D,1501428459702
KeyPressed ,A,1501428460110Key Released , A,1501428460125
KeyPressed ,R,1501428460188Key Released , R,1501428460203
KeyPressed ,H,1501428500402Key Released , H,1501428500449
KeyPressed ,E,1501428500890Key Released , E,1501428500906
KeyPressed ,L,1501428500968Key Released , L,1501428500984
KeyPressed ,L,1501428501062Key Released , L,1501428501078
KeyPressed ,O,1501428501222Key Released , O,1501428501237
KeyPressed ,Escape,1501428502244KeyPressed ,G,1501428577758Key Released , G,1501428577836
KeyPressed ,R,1501428578273Key Released , R,1501428578289
KeyPressed ,E,1501428578383Key Released , E,1501428578399
KeyPressed ,A,1501428578461KeyPressed ,T,1501428578477Key Released , A,1501428578492
Key Released , T,1501428578571
KeyPressed ,Escape,1501428583196KeyPressed ,W,1501428654773Key Released , W,1501428654866
KeyPressed ,E,1501428656023Key Released , E,1501428656038
KeyPressed ,Escape,1501428657343KeyPressed ,E,1501428796783Key Released , E,1501428796846
KeyPressed ,R,1501428797268Key Released , R,1501428797283
KeyPressed ,Escape,1501428798986KeyPressed ,D,1501503637075KeyPressed ,F,1501503638271Key Released , D,1501503638287
Key Released , F,1501503638317
KeyPressed ,D,1501503638338KeyPressed ,S,1501503638354Key Released , S,1501503638370
KeyPressed ,F,1501503638388Key Released , D,1501503638404
Key Released , F,1501503638422
KeyPressed ,G,1501503638443Key Released , G,1501503638460
KeyPressed ,D,1501503638481KeyPressed ,F,1501503638497Key Released , D,1501503638514
Key Released , F,1501503638535
KeyPressed ,G,1501503638555Key Released , G,1501503638572
KeyPressed ,Escape,1501503640243KeyPressed ,D,1501503679091KeyPressed ,F,1501503679811Key Released , F,1501503680540
KeyPressed ,G,1501503680588Key Released , D,1501503680605
KeyPressed ,D,1501503680630Key Released , G,1501503680662
KeyPressed ,F,1501503680692Key Released , D,1501503680707
Key Released , F,1501503680732
KeyPressed ,G,1501503680757Key Released , G,1501503680774
KeyPressed ,Escape,1501503681571KeyPressed ,G,1501506481921Key Released , G,1501506482014
KeyPressed ,R,1501506482249Key Released , R,1501506482343
KeyPressed ,Y,1501506850596Key Released , Y,1501506850700
