1227981_01	1	1ut0eicq3ml85ni3geavqrl6e4	0:61:1312903092233:1242719,1:61:1312903092295:62,0:62:1312903092404:109,1:62:1312903092451:47,0:62:1312903092561:110,1:62:1312903092623:62,0:67:1312903094529:1906,1:67:1312903094592:63,0:69:1312903094733:141,1:69:1312903094779:46,0:68:1312903096154:1375,1:68:1312903096233:79,0:61:1312903096467:234,1:61:1312903096529:62,0:6d:1312903096779:250,1:6d:1312903096826:47,0:8:1312903098342:1516,1:8:1312903098404:62,0:10:1312903100279:1875,0:bd:1312903100764:485,1:bd:1312903100858:94,1:10:1312903101061:203,0:60:1312903107623:6562,0:61:1312903107748:125,1:60:1312903107779:31,1:61:1312903107826:47,
1227981_01	2	1ut0eicq3ml85ni3geavqrl6e4	0:61:1312903092233:1242719,1:61:1312903092295:62,0:62:1312903092404:109,1:62:1312903092451:47,0:62:1312903092561:110,1:62:1312903092623:62,0:67:1312903094529:1906,1:67:1312903094592:63,0:69:1312903094733:141,1:69:1312903094779:46,0:68:1312903096154:1375,1:68:1312903096233:79,0:61:1312903096467:234,1:61:1312903096529:62,0:6d:1312903096779:250,1:6d:1312903096826:47,0:8:1312903098342:1516,1:8:1312903098404:62,0:10:1312903100279:1875,0:bd:1312903100764:485,1:bd:1312903100858:94,1:10:1312903101061:203,0:60:1312903107623:6562,0:61:1312903107748:125,1:60:1312903107779:31,1:61:1312903107826:47,
1227981_01	3	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903202170:13797,1:59:1312903202264:94,0:45:1312903202264:0,1:45:1312903202342:78,0:53:1312903202436:94,1:53:1312903202483:47,0:4e:1312903202873:390,0:4f:1312903202920:47,1:4e:1312903202967:47,1:4f:1312903203029:62,0:4d:1312903203092:63,1:4d:1312903203186:94,0:41:1312903203217:31,1:41:1312903203295:78,0:59:1312903203295:0,1:59:1312903203373:78,0:42:1312903203467:94,1:42:1312903203545:78,0:45:1312903203561:16,1:45:1312903203654:93,
1227981_01	4	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903211748:2578,1:59:1312903211826:78,0:45:1312903211826:0,1:45:1312903211904:78,0:53:1312903211983:79,1:53:1312903212061:78,0:4e:1312903212061:0,0:4f:1312903212139:78,1:4e:1312903212201:62,1:4f:1312903212264:63,0:4d:1312903212358:94,1:4d:1312903212451:93,0:41:1312903212483:32,1:41:1312903212561:78,0:59:1312903212592:31,1:59:1312903212686:94,0:42:1312903212779:93,1:42:1312903212889:110,0:45:1312903212889:0,1:45:1312903212967:78,
1227981_01	5	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903221404:3187,0:45:1312903221483:79,1:59:1312903221498:15,1:45:1312903221561:63,0:53:1312903221639:78,1:53:1312903221701:62,0:4e:1312903221701:0,0:4f:1312903221795:94,1:4e:1312903221858:63,1:4f:1312903221920:62,0:4d:1312903222014:94,1:4d:1312903222092:78,0:41:1312903222123:31,1:41:1312903222217:94,0:59:1312903222217:0,1:59:1312903222295:78,0:42:1312903222373:78,0:45:1312903222420:47,1:42:1312903222451:31,1:45:1312903222514:63,0:d:1312903222967:453,1:d:1312903223045:78,0:59:1312903237154:14109,1:59:1312903237248:94,0:45:1312903237248:0,1:45:1312903237326:78,0:53:1312903237404:78,0:4e:1312903237436:32,1:53:1312903237467:31,0:4f:1312903237498:31,1:4e:1312903237545:47,1:4f:1312903237592:47,0:4d:1312903237670:78,1:4d:1312903237748:78,0:41:1312903237779:31,0:59:1312903237842:63,1:41:1312903237873:31,1:59:1312903237936:63,0:42:1312903238014:78,1:42:1312903238092:78,0:45:1312903238092:0,1:45:1312903238170:78,
1227981_01	6	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903243811:2032,1:59:1312903243904:93,0:45:1312903243904:0,1:45:1312903243951:47,0:53:1312903244029:78,1:53:1312903244108:79,0:4e:1312903244108:0,0:4f:1312903244154:46,1:4e:1312903244186:32,1:4f:1312903244248:62,0:4d:1312903244326:78,1:4d:1312903244389:63,0:41:1312903244451:62,0:59:1312903244498:47,1:41:1312903244529:31,1:59:1312903244576:47,0:42:1312903244670:94,1:42:1312903244748:78,0:45:1312903244748:0,1:45:1312903244826:78,
1227981_01	7	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903250811:2828,1:59:1312903250889:78,0:45:1312903250920:31,1:45:1312903250983:63,0:53:1312903251061:78,1:53:1312903251123:62,0:4e:1312903251233:110,1:4e:1312903251326:93,0:4f:1312903251326:0,1:4f:1312903251420:94,0:4d:1312903251498:78,1:4d:1312903251576:78,0:41:1312903251654:78,0:59:1312903251701:47,1:41:1312903251748:47,1:59:1312903251779:31,0:42:1312903252233:454,0:45:1312903252279:46,1:42:1312903252295:16,1:45:1312903252358:63,
1227981_01	8	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903257936:2188,1:59:1312903258029:93,0:45:1312903258029:0,1:45:1312903258092:63,0:53:1312903258201:109,0:4e:1312903258217:16,1:53:1312903258248:31,0:4f:1312903258279:31,1:4e:1312903258311:32,1:4f:1312903258358:47,0:4d:1312903258420:62,1:4d:1312903258498:78,0:59:1312903258608:110,1:59:1312903258670:62,0:41:1312903258733:63,1:41:1312903258826:93,0:8:1312903259170:344,1:8:1312903259217:47,0:8:1312903259279:62,1:8:1312903259358:79,0:41:1312903259436:78,1:41:1312903259498:62,0:59:1312903259545:47,1:59:1312903259623:78,0:42:1312903259701:78,1:42:1312903259779:78,0:45:1312903259779:0,1:45:1312903259858:79,
1227981_01	9	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903265545:2172,1:59:1312903265639:94,0:45:1312903265639:0,1:45:1312903265701:62,0:53:1312903265779:78,1:53:1312903265842:63,0:4e:1312903265889:47,0:4f:1312903265951:62,1:4e:1312903265967:16,1:4f:1312903266045:78,0:4d:1312903266154:109,1:4d:1312903266248:94,0:41:1312903266326:78,1:41:1312903266404:78,0:59:1312903266483:79,1:59:1312903266561:78,0:42:1312903266654:93,1:42:1312903266733:79,0:45:1312903266748:15,1:45:1312903266826:78,
1227981_01	10	1ut0eicq3ml85ni3geavqrl6e4	0:59:1312903272717:2219,0:45:1312903272764:47,1:59:1312903272779:15,1:45:1312903272842:63,0:53:1312903272936:94,1:53:1312903272998:62,0:4e:1312903272998:0,0:4f:1312903273061:63,1:4e:1312903273076:15,1:4f:1312903273139:63,0:4d:1312903273217:78,1:4d:1312903273295:78,0:41:1312903273389:94,1:41:1312903273467:78,0:59:1312903273483:16,1:59:1312903273561:78,0:42:1312903273654:93,1:42:1312903273717:63,0:45:1312903273748:31,1:45:1312903273811:63,
